iter	RMSE
0	5583.462021
1	4960.401206
2	4469.082357
3	4174.897151
4	3993.70258
5	3832.983259
6	3718.11001
7	3637.632363
8	3577.979352
9	3528.896596
10	3458.909458
11	3424.187913
12	3394.259005
13	3315.425028
14	3284.659211
15	3261.057622
16	3221.701158
17	3188.01128
18	3131.00422
19	3118.575562
20	3083.611813
21	3065.098635
22	3053.223419
23	3033.549204
24	3017.923823
25	2996.247852
26	2977.983999
27	2964.992517
28	2954.238082
29	2945.444674
30	2917.79369
31	2889.555224
32	2878.613825
33	2863.48927
34	2844.662967
35	2833.577354
36	2825.208046
37	2816.471752
38	2797.673708
39	2778.997419
40	2769.993658
41	2760.617475
42	2750.488033
43	2739.114934
44	2729.402827
45	2717.956809
46	2702.849164
47	2692.242199
48	2683.818042
49	2675.762517
50	2668.153938
51	2654.806047
52	2651.884461
53	2647.690564
54	2640.87112
55	2631.441608
56	2620.012714
57	2606.776183
58	2600.978818
59	2588.74917
60	2573.637212
61	2564.112624
62	2554.657073
63	2548.996831
64	2541.9335
65	2533.610849
66	2528.7701
67	2523.603976
68	2516.260724
69	2508.111424
70	2496.953588
71	2493.518219
72	2484.865761
73	2480.148777
74	2476.103797
75	2468.662009
76	2458.803202
77	2451.180069
78	2440.928691
79	2433.634406
80	2426.234093
81	2419.18681
82	2414.32078
83	2408.083043
84	2400.018573
85	2396.280969
86	2386.473778
87	2380.640683
88	2376.438874
89	2373.513669
90	2370.663205
91	2365.063053
92	2362.064461
93	2356.037129
94	2352.681746
95	2347.566998
96	2343.656234
97	2339.349272
98	2331.150826
99	2327.408614
100	2320.718243
101	2314.956904
102	2306.411771
103	2300.537916
104	2294.647909
105	2287.74243
106	2284.179568
107	2279.161513
108	2275.125662
109	2272.002262
110	2268.474662
111	2264.898786
112	2262.097649
113	2259.170789
114	2253.916493
115	2249.593553
116	2242.524521
117	2239.924225
118	2235.151909
119	2231.659287
120	2229.220786
121	2224.995642
122	2220.257657
123	2216.61276
124	2214.290961
125	2208.858164
126	2203.098181
127	2200.246944
128	2196.710884
129	2193.859273
130	2190.874507
131	2187.837504
132	2186.247029
133	2177.338432
134	2171.501946
135	2170.149514
136	2164.670522
137	2162.788228
138	2157.693417
139	2153.735632
140	2151.454448
141	2149.57458
142	2144.091173
143	2141.809086
144	2137.334417
145	2134.912941
146	2131.080864
147	2127.75769
148	2124.922837
149	2123.682493
150	2120.248492
151	2113.059272
152	2103.009059
153	2099.045123
154	2095.425858
155	2090.310515
156	2088.926573
157	2083.1664
158	2081.028478
159	2078.432986
160	2076.815907
161	2073.273864
162	2068.696247
163	2066.883394
164	2065.054096
165	2063.380146
166	2061.441126
167	2059.765818
168	2056.354468
169	2051.242529
170	2048.213296
171	2045.548828
172	2044.164634
173	2035.601304
174	2031.443773
175	2029.78843
176	2027.954432
177	2025.71669
178	2023.123358
179	2019.80694
180	2017.623148
181	2015.10501
182	2011.720928
183	2009.861704
184	2009.198679
185	2008.00553
186	2004.528413
187	2002.196832
188	2000.691063
189	1998.012112
190	1997.315108
191	1993.833953
192	1990.802797
193	1989.182183
194	1985.38327
195	1983.433788
196	1981.743927
197	1980.687843
198	1978.622828
199	1976.43459
200	1974.899077
201	1969.966975
202	1968.322139
203	1965.47147
204	1964.066934
205	1962.344007
206	1960.178808
207	1957.08634
208	1956.169048
209	1954.282681
210	1952.353033
211	1950.373739
212	1949.099058
213	1947.059017
214	1942.766553
215	1941.412102
216	1939.402684
217	1936.683732
218	1935.166481
219	1934.168698
220	1931.426494
221	1928.455426
222	1925.980645
223	1925.126109
224	1923.243653
225	1921.753041
226	1921.074336
227	1918.066657
228	1915.765645
229	1913.64774
230	1909.445535
231	1908.609639
232	1906.658233
233	1905.68951
234	1904.195677
235	1900.019082
236	1897.667465
237	1896.320341
238	1893.656054
239	1890.26815
240	1889.833585
241	1888.991121
242	1887.557211
243	1885.744405
244	1883.101465
245	1882.053009
246	1880.774333
247	1879.27994
248	1877.279033
249	1876.369779
250	1874.249993
251	1873.485668
252	1871.637619
253	1869.568984
254	1868.401205
255	1866.718121
256	1865.113668
257	1863.681844
258	1862.2117
259	1860.901925
260	1859.704413
261	1857.569052
262	1856.946177
263	1855.053552
264	1853.2667
265	1849.9028
266	1848.309669
267	1844.908897
268	1843.195423
269	1841.743832
270	1840.323978
271	1839.757704
272	1838.674018
273	1836.972306
274	1834.134304
275	1832.378353
276	1831.329503
277	1829.957092
278	1828.734832
279	1826.937516
280	1825.562004
281	1824.153079
282	1822.315368
283	1820.846581
284	1820.016171
285	1818.300203
286	1817.775126
287	1815.379167
288	1812.47608
289	1811.525911
290	1810.211912
291	1809.259472
292	1808.799366
293	1806.692864
294	1805.339286
295	1801.808753
296	1800.910469
297	1800.036697
298	1799.084606
299	1797.709985
300	1795.285169
301	1793.878369
302	1790.643317
303	1786.503299
304	1784.545966
305	1782.031497
306	1781.198911
307	1780.459821
308	1777.87993
309	1776.010024
310	1775.172242
311	1772.955937
312	1771.095584
313	1769.8099
314	1766.823842
315	1766.035653
316	1764.081398
317	1763.058411
318	1760.654014
319	1759.789784
320	1758.655602
321	1757.687939
322	1755.838141
323	1755.264539
324	1754.811501
325	1753.232448
326	1750.977262
327	1749.994813
328	1749.292529
