iter	Passed	Remaining
0	26	28676
1	46	25018
2	64	23403
3	82	22222
4	102	22059
5	121	21899
6	141	21725
7	161	21752
8	182	21849
9	202	21773
10	223	21810
11	242	21652
12	262	21670
13	281	21550
14	302	21546
15	322	21562
16	342	21526
17	362	21503
18	382	21456
19	402	21431
20	423	21464
21	444	21467
22	464	21454
23	484	21399
24	503	21345
25	525	21406
26	545	21366
27	564	21328
28	586	21357
29	604	21269
30	626	21305
31	645	21251
32	665	21229
33	685	21186
34	704	21137
35	728	21213
36	747	21177
37	767	21147
38	785	21080
39	807	21091
40	830	21154
41	851	21144
42	869	21079
43	889	21035
44	911	21063
45	932	21065
46	953	21063
47	973	21025
48	990	20941
49	1009	20898
50	1030	20888
51	1050	20871
52	1068	20804
53	1087	20758
54	1107	20733
55	1128	20733
56	1149	20724
57	1166	20656
58	1184	20602
59	1204	20570
60	1227	20602
61	1247	20582
62	1266	20538
63	1284	20486
64	1305	20490
65	1327	20498
66	1348	20490
67	1366	20432
68	1385	20395
69	1406	20390
70	1426	20379
71	1446	20353
72	1464	20308
73	1482	20256
74	1503	20246
75	1524	20237
76	1544	20216
77	1564	20193
78	1584	20171
79	1605	20170
80	1627	20171
81	1648	20169
82	1667	20124
83	1685	20085
84	1705	20068
85	1727	20065
86	1749	20063
87	1770	20055
88	1791	20050
89	1813	20053
90	1833	20022
91	1852	19990
92	1871	19962
93	1892	19949
94	1914	19947
95	1934	19925
96	1953	19895
97	1973	19880
98	1993	19858
99	2015	19854
100	2034	19819
101	2053	19791
102	2072	19761
103	2094	19754
104	2118	19772
105	2137	19744
106	2157	19723
107	2176	19686
108	2195	19660
109	2219	19675
110	2239	19648
111	2258	19622
112	2277	19588
113	2297	19569
114	2321	19578
115	2340	19552
116	2362	19547
117	2380	19505
118	2401	19491
119	2425	19506
120	2445	19486
121	2465	19457
122	2484	19434
123	2504	19406
124	2525	19396
125	2546	19380
126	2564	19348
127	2585	19331
128	2606	19318
129	2627	19300
130	2645	19268
131	2664	19234
132	2682	19200
133	2706	19208
134	2728	19200
135	2749	19183
136	2767	19153
137	2788	19138
138	2810	19125
139	2830	19105
140	2849	19076
141	2869	19058
142	2890	19043
143	2911	19024
144	2931	19001
145	2949	18971
146	2968	18941
147	2988	18923
148	3009	18906
149	3030	18892
150	3051	18875
151	3069	18844
152	3090	18826
153	3112	18815
154	3132	18794
155	3150	18763
156	3170	18738
157	3191	18722
158	3213	18717
159	3232	18690
160	3254	18675
161	3271	18637
162	3292	18623
163	3312	18601
164	3332	18580
165	3351	18556
166	3372	18540
167	3393	18522
168	3415	18510
169	3435	18488
170	3453	18459
171	3471	18427
172	3492	18410
173	3514	18399
174	3534	18377
175	3554	18360
176	3575	18340
177	3599	18338
178	3619	18319
179	3638	18295
180	3656	18261
181	3675	18236
182	3697	18223
183	3717	18203
184	3736	18179
185	3755	18151
186	3775	18130
187	3796	18115
188	3816	18093
189	3836	18073
190	3857	18054
191	3878	18039
192	3900	18025
193	3919	18001
